# name,x,y,w,h
panel,19,10,530,331
panel-square,562,26,270,310
divider,17,349,306,34
btn-normal,17,395,244,62
btn-hover,17,458,244,70
btn-active,24,533,232,58
btn-disabled,24,597,232,58
btn-close,1159,511,55,55
slot-common,703,810,74,72
slot-uncommon,785,806,72,72
slot-rare,867,806,72,72
slot-epic,948,806,72,72
slot-legendary,1028,806,76,72
bar-fill,808,692,268,32
bar-track,808,728,268,32
portrait-frame,545,830,118,118
tab-nav,808,728,90,34
checkbox-off,609,652,58,58
checkbox-on,682,708,56,56
input-zone,17,680,600,60
